"Game ID","Home Team","Away Team"
"2015122011","SD","MIA"
"2015122010","PIT","DEN"
"2015122001","PHI","ARI"
"2015122100","NO","DET"
"2015122400","OAK","SD"
"2015122600","PHI","WAS"
"2015122705","DET","SF"
"2015122712","BAL","PIT"
"2015122709","BUF","DAL"
"2015122708","TB","CHI"
"2015122707","ATL","CAR"
"2015122701","MIA","IND"
"2015122702","NYJ","NE"
"2015122703","TEN","HOU"
"2015122704","KC","CLE"
"2015122700","NO","JAC"
"2015122710","ARI","GB"
"2015122711","SEA","STL"
"2015122706","MIN","NYG"
"2015122800","DEN","CIN"
"2016010300","BUF","NYJ"
"2016010301","MIA","NE"
"2016010311","ATL","NO"
"2016010309","CHI","DET"
"2016010308","NYG","PHI"
"2016010307","DAL","WAS"
"2016010305","IND","TEN"
"2016010302","CIN","BAL"
"2016010303","CLE","PIT"
"2016010304","HOU","JAC"
"2016010306","KC","OAK"
"2016010313","DEN","SD"
"2016010312","CAR","TB"
"2016010314","ARI","SEA"
"2016010315","SF","STL"
"2016010310","GB","MIN"
"2016090800","DEN","CAR"
"2016091100","ATL","TB"
"2016091108","TEN","MIN"
"2016091107","PHI","CLE"
"2016091106","NYJ","CIN"
"2016091105","NO","OAK"
"2016091104","KC","SD"
"2016091101","BAL","BUF"
"2016091102","HOU","CHI"
"2016091103","JAC","GB"
"2016091109","SEA","MIA"
"2016091110","DAL","NYG"
"2016091111","IND","DET"
"2016091112","ARI","NE"
"2016091200","WAS","PIT"
"2016091201","SF","LA"
"2016091500","BUF","NYJ"
"2016091800","CAR","SF"
"2016091807","WAS","DAL"
"2016091806","PIT","CIN"
"2016091805","NYG","NO"
"2016091804","NE","MIA"
"2016091803","HOU","KC"
"2016091802","DET","TEN"
"2016091801","CLE","BAL"
"2016091809","LA","SEA"
"2016091808","ARI","TB"
"2016091812","SD","JAX"
"2016091811","OAK","ATL"
"2016091810","DEN","IND"
"2016091813","MIN","GB"
"2016091900","CHI","PHI"
"2016092200","NE","HOU"
"2016092500","BUF","ARI"
"2016092507","TEN","OAK"
"2016092506","NYG","WAS"
"2016092505","MIA","CLE"
"2016092504","JAX","BAL"
"2016092503","GB","DET"
"2016092502","CIN","DEN"
"2016092501","CAR","MIN"
"2016092509","TB","LA"
"2016092508","SEA","SF"
"2016092512","KC","NYJ"
"2016092511","IND","SD"
"2016092510","PHI","PIT"
"2016092513","DAL","CHI"
"2016092600","NO","ATL"
"2016092900","CIN","MIA"
"2016100200","JAX","IND"
"2016100204","HOU","TEN"
"2016100207","WAS","CLE"
"2016100206","NYJ","SEA"
"2016100205","NE","BUF"
"2016100201","ATL","CAR"
"2016100202","BAL","OAK"
"2016100203","CHI","DET"
"2016100208","TB","DEN"
"2016100209","ARI","LA"
"2016100210","SD","NO"
"2016100211","SF","DAL"
"2016100212","PIT","KC"
"2016100300","MIN","NYG"
"2016100600","SF","ARI"
"2016100901","CLE","NE"
"2016100902","DET","PHI"
"2016100903","IND","CHI"
"2016100904","MIA","TEN"
"2016100900","BAL","WAS"
"2016100905","MIN","HOU"
"2016100906","PIT","NYJ"
"2016100907","DEN","ATL"
"2016100908","DAL","CIN"
"2016100909","LA","BUF"
"2016100910","OAK","SD"
"2016100911","GB","NYG"
"2016101000","CAR","TB"
"2016101300","SD","DEN"
"2016101600","BUF","SF"
"2016101608","WAS","PHI"
"2016101607","TEN","CLE"
"2016101606","NYG","BAL"
"2016101605","NO","CAR"
"2016101601","CHI","JAX"
"2016101602","DET","LA"
"2016101603","MIA","PIT"
"2016101604","NE","CIN"
"2016101609","OAK","KC"
"2016101611","SEA","ATL"
"2016101610","GB","DAL"
"2016101612","HOU","IND"
"2016101700","ARI","NYJ"
"2016102000","GB","CHI"
"2016102300","LA","NYG"
"2016102304","KC","NO"
"2016102308","TEN","IND"
"2016102307","PHI","MIN"
"2016102301","CIN","CLE"
"2016102302","DET","WAS"
"2016102303","JAX","OAK"
"2016102305","MIA","BUF"
"2016102306","NYJ","BAL"
"2016102310","SF","TB"
"2016102309","ATL","SD"
"2016102311","PIT","NE"
"2016102312","ARI","SEA"
"2016102400","DEN","HOU"
"2016102700","TEN","JAX"
"2016103000","CIN","WAS"
"2016103005","IND","KC"
"2016103009","CAR","ARI"
"2016103007","TB","OAK"
"2016103006","NO","SEA"
"2016103004","HOU","DET"
"2016103002","BUF","NE"
"2016103003","CLE","NYJ"
"2016103008","DEN","SD"
"2016103001","ATL","GB"
"2016103010","DAL","PHI"
"2016103100","CHI","MIN"
"2016110300","TB","ATL"
"2016110605","MIN","DET"
"2016110606","NYG","PHI"
"2016110604","MIA","NYJ"
"2016110603","KC","JAX"
"2016110602","CLE","DAL"
"2016110601","BAL","PIT"
"2016110608","SF","NO"
"2016110607","LA","CAR"
"2016110609","GB","IND"
"2016110610","SD","TEN"
"2016110600","OAK","DEN"
"2016110700","SEA","BUF"
"2016111000","BAL","CLE"
"2016111302","JAX","HOU"
"2016111303","NO","DEN"
"2016111304","NYJ","LA"
"2016111305","PHI","ATL"
"2016111301","CAR","KC"
"2016111306","TB","CHI"
"2016111308","WAS","MIN"
"2016111307","TEN","GB"
"2016111309","SD","MIA"
"2016111310","ARI","SF"
"2016111311","PIT","DAL"
"2016111312","NE","SEA"
"2016111400","NYG","CIN"
"2016111700","CAR","NO"
"2016112001","CLE","PIT"
"2016112002","DAL","BAL"
"2016112003","DET","JAX"
"2016112004","IND","TEN"
"2016112000","CIN","BUF"
"2016112005","KC","TB"
"2016112007","NYG","CHI"
"2016112006","MIN","ARI"
"2016112008","LA","MIA"
"2016112009","SF","NE"
"2016112010","SEA","PHI"
"2016112011","WAS","GB"
"2016112100","OAK","HOU"
"2016112400","DET","MIN"
"2016112401","DAL","WAS"
"2016112402","IND","PIT"
"2016112703","CHI","TEN"
"2016112702","BUF","JAX"
"2016112701","BAL","CIN"
"2016112700","ATL","ARI"
"2016112704","CLE","NYG"
"2016112707","NO","LA"
"2016112706","MIA","SF"
"2016112705","HOU","SD"
"2016112708","TB","SEA"
"2016112711","NYJ","NE"
"2016112710","OAK","CAR"
"2016112709","DEN","KC"
"2016112800","PHI","GB"
"2016120100","MIN","DAL"
"2016120400","ATL","KC"
"2016120407","NO","DET"
"2016120406","NE","LA"
"2016120405","JAX","DEN"
"2016120404","GB","HOU"
"2016120403","CIN","PHI"
"2016120401","BAL","MIA"
"2016120402","CHI","SF"
"2016120408","OAK","BUF"
"2016120410","PIT","NYG"
"2016120409","ARI","WAS"
"2016120411","SD","TB"
"2016120412","SEA","CAR"
"2016120500","NYJ","IND"
"2016120800","KC","OAK"
"2016121100","BUF","PIT"
"2016121109","TEN","DEN"
"2016121107","PHI","WAS"
"2016121106","MIA","ARI"
"2016121105","JAX","MIN"
"2016121104","IND","HOU"
"2016121101","CAR","SD"
"2016121102","CLE","CIN"
"2016121103","DET","CHI"
"2016121110","SF","NYJ"
"2016121108","TB","NO"
"2016121112","LA","ATL"
"2016121111","GB","SEA"
"2016121113","NYG","DAL"
"2016121200","NE","BAL"
"2016121500","SEA","LA"
"2016121700","NYJ","MIA"
"2016121802","CHI","GB"
"2016121801","BUF","CLE"
"2016121800","BAL","PHI"
"2016121805","KC","TEN"
"2016121812","CIN","PIT"
"2016121807","NYG","DET"
"2016121806","MIN","IND"
"2016121804","HOU","JAX"
"2016121808","ARI","NO"
"2016121809","ATL","SF"
"2016121811","SD","OAK"
"2016121810","DEN","NE"
"2016121803","DAL","TB"
"2016121900","WAS","CAR"
"2016122200","PHI","NYG"
"2016122400","BUF","MIA"
"2016122406","NE","NYJ"
"2016122405","JAX","TEN"
"2016122404","GB","MIN"
"2016122403","CLE","SD"
"2016122402","CHI","WAS"
"2016122401","CAR","ATL"
"2016122408","OAK","IND"
"2016122407","NO","TB"
"2016122410","SEA","ARI"
"2016122409","LA","SF"
"2016122411","HOU","CIN"
"2016122500","PIT","BAL"
"2016122501","KC","DEN"
"2016122600","DAL","DET"
"2017010101","CIN","BAL"
"2017010110","TEN","HOU"
"2017010109","TB","CAR"
"2017010108","PIT","CLE"
"2017010107","PHI","DAL"
"2017010106","NYJ","BUF"
"2017010105","MIN","CHI"
"2017010103","IND","JAX"
"2017010104","MIA","NE"
"2017010114","SD","KC"
"2017010113","LA","ARI"
"2017010112","DEN","OAK"
"2017010111","WAS","NYG"
"2017010115","SF","SEA"
"2017010100","ATL","NO"
"2017010102","DET","GB"
"2017090700","NE","KC"
"2017091000","BUF","NYJ"
"2017091008","WAS","PHI"
"2017091007","TEN","OAK"
"2017091005","HOU","JAX"
"2017091004","DET","ARI"
"2017091003","CLE","PIT"
"2017091001","CHI","ATL"
"2017091002","CIN","BAL"
"2017091009","LA","IND"
"2017091011","SF","CAR"
"2017091010","GB","SEA"
"2017091012","DAL","NYG"
"2017091100","MIN","NO"
"2017091101","DEN","LAC"
"2017091400","CIN","HOU"
"2017091700","BAL","CLE"
"2017091707","TB","CHI"
"2017091706","PIT","MIN"
"2017091705","NO","NE"
"2017091704","KC","PHI"
"2017091703","JAX","TEN"
"2017091702","IND","ARI"
"2017091701","CAR","BUF"
"2017091709","OAK","NYJ"
"2017091708","LAC","MIA"
"2017091712","SEA","SF"
"2017091711","LA","WAS"
"2017091710","DEN","DAL"
"2017091713","ATL","GB"
"2017091800","NYG","DET"
"2017092100","SF","LA"
"2017092400","JAX","BAL"
"2017092405","IND","CLE"
"2017092409","PHI","NYG"
"2017092408","NYJ","MIA"
"2017092401","BUF","DEN"
"2017092402","CAR","NO"
"2017092403","CHI","PIT"
"2017092404","DET","ATL"
"2017092406","MIN","TB"
"2017092407","NE","HOU"
"2017092410","TEN","SEA"
"2017092411","GB","CIN"
"2017092412","LAC","KC"
"2017092413","WAS","OAK"
"2017092500","ARI","DAL"
"2017092800","GB","CHI"
"2017100100","MIA","NO"
"2017100105","HOU","TEN"
"2017100108","NYJ","JAX"
"2017100107","NE","CAR"
"2017100106","MIN","DET"
"2017100101","ATL","BUF"
"2017100102","BAL","PIT"
"2017100103","CLE","CIN"
"2017100104","DAL","LA"
"2017100110","LAC","PHI"
"2017100111","TB","NYG"
"2017100109","ARI","SF"
"2017100112","DEN","OAK"
"2017100113","SEA","IND"
"2017100200","KC","WAS"
"2017100500","TB","NE"
"2017100801","CLE","NYJ"
"2017100802","DET","CAR"
"2017100803","IND","SF"
"2017100804","MIA","TEN"
"2017100800","CIN","BUF"
"2017100805","NYG","LAC"
"2017100807","PIT","JAX"
"2017100806","PHI","ARI"
"2017100808","LA","SEA"
"2017100809","OAK","BAL"
"2017100810","DAL","GB"
"2017100811","HOU","KC"
