"ids","year"
"2016100201",2016
"2016100202",2016
"2016100203",2016
"2016100208",2016
"2016100209",2016
"2016100210",2016
"2016100211",2016
"2016100212",2016
"2016100300",2016
"2016100600",2016
"2016100901",2016
"2016100902",2016
"2016100903",2016
"2016100904",2016
"2016100900",2016
"2016100905",2016
"2016100906",2016
"2016100907",2016
"2016100908",2016
"2016100909",2016
"2016100910",2016
"2016100911",2016
"2016101000",2016
"2016101300",2016
"2016101600",2016
"2016101608",2016
"2016101607",2016
"2016101606",2016
"2016101605",2016
"2016101601",2016
"2016101602",2016
"2016101603",2016
"2016101604",2016
"2016101609",2016
"2016101611",2016
"2016101610",2016
"2016101612",2016
"2016101700",2016
"2016102000",2016
"2016102300",2016
"2016102304",2016
"2016102308",2016
"2016102307",2016
"2016102301",2016
"2016102302",2016
"2016102303",2016
"2016102305",2016
"2016102306",2016
"2016102310",2016
"2016102309",2016
"2016102311",2016
"2016102312",2016
"2016102400",2016
"2016102700",2016
"2016103000",2016
"2016103005",2016
"2016103009",2016
"2016103007",2016
"2016103006",2016
"2016103004",2016
"2016103002",2016
"2016103003",2016
"2016103008",2016
"2016103001",2016
"2016103010",2016
"2016103100",2016
"2016110300",2016
"2016110605",2016
"2016110606",2016
"2016110604",2016
"2016110603",2016
"2016110602",2016
"2016110601",2016
"2016110608",2016
"2016110607",2016
"2016110609",2016
"2016110610",2016
"2016110600",2016
"2016110700",2016
"2016111000",2016
"2016111302",2016
"2016111303",2016
"2016111304",2016
"2016111305",2016
"2016111301",2016
"2016111306",2016
"2016111308",2016
"2016111307",2016
"2016111309",2016
"2016111310",2016
"2016111311",2016
"2016111312",2016
"2016111400",2016
"2016111700",2016
"2016112001",2016
"2016112002",2016
"2016112003",2016
"2016112004",2016
"2016112000",2016
"2016112005",2016
"2016112007",2016
"2016112006",2016
"2016112008",2016
"2016112009",2016
"2016112010",2016
"2016112011",2016
"2016112100",2016
"2016112400",2016
"2016112401",2016
"2016112402",2016
"2016112703",2016
"2016112702",2016
"2016112701",2016
"2016112700",2016
"2016112704",2016
"2016112707",2016
"2016112706",2016
"2016112705",2016
"2016112708",2016
"2016112711",2016
"2016112710",2016
"2016112709",2016
"2016112800",2016
"2016120100",2016
"2016120400",2016
"2016120407",2016
"2016120406",2016
"2016120405",2016
"2016120404",2016
"2016120403",2016
"2016120401",2016
"2016120402",2016
"2016120408",2016
"2016120410",2016
"2016120409",2016
"2016120411",2016
"2016120412",2016
"2016120500",2016
"2016121500",2016
"2016121700",2016
"2016121802",2016
"2016121801",2016
"2016121800",2016
"2016121805",2016
"2016121812",2016
"2016121807",2016
"2016121806",2016
"2016121804",2016
"2016121808",2016
"2016121809",2016
"2016121811",2016
"2016121810",2016
"2016121803",2016
"2016121900",2016
"2016122200",2016
"2016122400",2016
"2016122406",2016
"2016122405",2016
"2016122404",2016
"2016122403",2016
"2016122402",2016
"2016122401",2016
"2016122408",2016
"2016122407",2016
"2016122410",2016
"2016122409",2016
"2016122411",2016
"2016122500",2016
"2016122501",2016
"2016122600",2016
"2017010101",2016
"2017010110",2016
"2017010109",2016
"2017010108",2016
"2017010107",2016
"2017010106",2016
"2017010105",2016
"2017010103",2016
"2017010104",2016
"2017010114",2016
"2017010113",2016
"2017010112",2016
"2017010111",2016
"2017010115",2016
"2017010100",2016
"2017010102",2016
"2017090700",2017
"2017091000",2017
"2017091008",2017
"2017091007",2017
"2017091005",2017
"2017091004",2017
"2017091003",2017
"2017091001",2017
"2017091002",2017
"2017091009",2017
"2017091011",2017
"2017091010",2017
"2017091012",2017
"2017091100",2017
"2017091101",2017
"2017091400",2017
"2017091700",2017
"2017091707",2017
"2017091706",2017
"2017091705",2017
"2017091704",2017
"2017091703",2017
"2017091702",2017
"2017091701",2017
"2017091709",2017
"2017091708",2017
"2017091712",2017
"2017091711",2017
"2017091710",2017
"2017091713",2017
"2017091800",2017
"2017092100",2017
"2017092400",2017
"2017092405",2017
"2017092409",2017
"2017092408",2017
"2017092401",2017
"2017092402",2017
"2017092403",2017
"2017092404",2017
"2017092406",2017
"2017092407",2017
"2017092410",2017
"2017092411",2017
"2017092412",2017
"2017092413",2017
"2017092500",2017
"2017092800",2017
"2017100100",2017
"2017100105",2017
"2017100108",2017
"2017100107",2017
"2017100106",2017
"2017100101",2017
"2017100102",2017
"2017100103",2017
"2017100104",2017
"2017100110",2017
"2017100111",2017
"2017100109",2017
"2017100112",2017
"2017100113",2017
"2017100200",2017
"2017100500",2017
"2017100801",2017
"2017100802",2017
"2017100803",2017
"2017100804",2017
"2017100800",2017
"2017100805",2017
"2017100807",2017
"2017100806",2017
"2017100808",2017
"2017100809",2017
"2017100810",2017
"2017100811",2017
"2017100900",2017
"2017101200",2017
